               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.036584,            0.011191,            0.010944,             0.89339,              0.9293,             0.96247,             0.57928,            0.031524,           0.0070819,           0.0086269,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033572,            0.012356,            0.011251,             0.92398,             0.90522,              0.9631,             0.56171,            0.031366,           0.0070134,           0.0086708,           0.0079408,           0.0079408,           0.0079408
                 106,            0.035375,           0.0098776,           0.0098106,             0.93295,             0.90348,             0.95497,               0.573,            0.030594,           0.0069416,           0.0087318,            0.007921,            0.007921,            0.007921
                 107,            0.034693,            0.011156,           0.0088356,             0.94005,             0.91262,             0.94973,             0.55281,            0.034119,           0.0070335,           0.0086002,           0.0079012,           0.0079012,           0.0079012
                 108,            0.036391,            0.011376,            0.010144,             0.91501,             0.89403,             0.94101,             0.54097,             0.03245,           0.0071584,           0.0085373,           0.0078814,           0.0078814,           0.0078814
                 109,            0.035478,            0.011306,           0.0095253,             0.94022,             0.90606,             0.96208,             0.57855,             0.02933,           0.0069948,           0.0083752,           0.0078616,           0.0078616,           0.0078616
                 110,            0.033395,            0.010862,           0.0094501,             0.95162,             0.90533,             0.95488,             0.56483,            0.029739,           0.0070843,           0.0081062,           0.0078418,           0.0078418,           0.0078418
                 111,            0.032155,            0.011196,           0.0090864,             0.92574,             0.90781,             0.96232,             0.60547,            0.029649,           0.0070053,           0.0079012,            0.007822,            0.007822,            0.007822
                 112,            0.034343,            0.010016,           0.0088407,             0.93738,             0.90254,             0.96336,             0.63444,            0.027284,           0.0069827,           0.0078306,           0.0078022,           0.0078022,           0.0078022
                 113,            0.034041,             0.01098,           0.0088365,             0.92556,             0.87783,             0.95691,             0.59487,            0.029144,           0.0070166,           0.0076017,           0.0077824,           0.0077824,           0.0077824
                 114,            0.033839,            0.011028,           0.0080405,             0.91749,             0.89853,             0.94878,             0.54453,            0.031719,           0.0069561,           0.0071707,           0.0077626,           0.0077626,           0.0077626
                 115,            0.033387,            0.011559,           0.0079147,              0.9211,             0.89692,             0.95758,             0.59965,            0.029557,           0.0069287,           0.0072126,           0.0077428,           0.0077428,           0.0077428
                 116,            0.033362,            0.010898,           0.0078824,              0.9336,             0.91894,             0.96185,             0.57071,            0.031091,           0.0070174,           0.0069513,            0.007723,            0.007723,            0.007723
                 117,            0.034305,            0.010018,           0.0077609,             0.95596,             0.92614,             0.96035,             0.49872,            0.033672,           0.0070682,           0.0071793,           0.0077032,           0.0077032,           0.0077032
                 118,            0.036228,            0.011337,           0.0085009,             0.92299,             0.88518,             0.95403,             0.58176,            0.030556,           0.0069924,           0.0090046,           0.0076834,           0.0076834,           0.0076834
                 119,            0.033137,            0.010145,           0.0082773,             0.92644,             0.90806,             0.95166,             0.58648,            0.029639,           0.0069602,           0.0086842,           0.0076636,           0.0076636,           0.0076636
                 120,            0.034973,            0.011605,           0.0078468,             0.93196,             0.91316,             0.94826,             0.53629,            0.032012,           0.0070456,           0.0075569,           0.0076438,           0.0076438,           0.0076438
